Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.563487762,0.8109814652,0.9679823306,2.054808019,0.4217563944,-0.8895391036,1.389985161,-1.692891754,-1.57569403,-0.927499533,-1.727929465,-1.120090589,-1.323926977,0.4026750616,1.759676166,0.5560471852,0.436522404,-0.3380917728,0.8339205471,1.455505075,0.8139890505
7.56058232,0.8110905586,0.9672448738,2.051810563,0.4224720862,-0.8938405928,1.390261154,-1.690835656,-1.564854743,-0.923768235,-1.713380277,-1.118535045,-1.346212257,0.3984392996,1.660890971,0.5252734541,0.4362010204,-0.3700126659,0.7660649378,1.41049089,0.7782636534
7.557680649,0.8111244002,0.9666539044,2.048688575,0.4231966438,-0.8982577109,1.390112273,-1.677041286,-1.550227474,-0.9196856943,-1.694569482,-1.10935747,-1.363437792,0.3976242897,1.562326128,0.4946582563,0.4358807878,-0.4012291027,0.6983898151,1.362621414,0.7428442289
7.554825163,0.8110826831,0.966216424,2.045481969,0.4239207752,-0.9027333768,1.389541304,-1.651699756,-1.532015475,-0.9152981063,-1.671741851,-1.092702233,-1.375417688,0.4002219174,1.465227763,0.4645663754,0.4355766137,-0.4313722313,0.6317313302,1.312486225,0.7081795408
7.552053151,0.8109660809,0.9659375076,2.042231633,0.4246352127,-0.9072099089,1.38855634,-1.615143331,-1.510455444,-0.9106670815,-1.645203134,-1.068789954,-1.381999038,0.4062003714,1.37083004,0.4353965659,0.4352796944,-0.4600437375,0.5669391494,1.260737432,0.6746967937
7.549405677,0.8107762323,0.9658202616,2.038978869,0.4253308399,-0.9116297364,1.387170608,-1.567845669,-1.485828422,-0.9058539812,-1.61529883,-1.037938905,-1.383111358,0.4154795895,1.280336674,0.4075219996,0.4349940367,-0.4868825659,0.5048279928,1.208033428,0.6428135239
7.546917706,0.8105157122,0.9658657775,2.035764936,0.4259988151,-0.9159362967,1.385402231,-1.51041954,-1.458453332,-0.9009146997,-1.582404636,-1.000554719,-1.378764906,0.4279289616,1.194889404,0.3812791749,0.4347311567,-0.5115697456,0.4461620462,1.15502267,0.6129273751
7.544608821,0.8101879888,0.9660731509,2.032630534,0.4266306872,-0.9200746955,1.383274023,-1.443602952,-1.428677749,-0.8959154085,-1.546941983,-0.9571153741,-1.369018145,0.4433917531,1.115568258,0.3570114164,0.4344869758,-0.5337856259,0.3916795647,1.102382707,0.5854043774
7.54251653,0.8097973681,0.9664395248,2.029615279,0.4272185091,-0.9239923301,1.380813203,-1.368251178,-1.396878054,-0.8909201608,-1.509358501,-0.9081720906,-1.353999873,0.4616703212,1.043377695,0.3350287554,0.434262943,-0.5532497381,0.3420617899,1.050776952,0.5605819477
7.540658112,0.8093489299,0.9669601319,2.026757271,0.4277549363,-0.927639657,1.37805101,-1.285330353,-1.36345411,-0.885986254,-1.470117071,-0.8543449222,-1.333913111,0.4825261728,0.9792259601,0.3155969229,0.4340681257,-0.5697311456,0.2979172514,1.000838598,0.5387685785
7.539051072,0.8088484572,0.9676283425,2.024092623,0.4282333112,-0.930970743,1.375022347,-1.195893697,-1.328823471,-0.8811789919,-1.429710247,-0.7963105824,-1.309012361,0.5056991251,0.9239192859,0.2989670353,0.433900684,-0.5830187568,0.259799381,0.9532002199,0.5202303933
7.53771604,0.8083023596,0.9684357677,2.021655001,0.4286477379,-0.9339437425,1.371765382,-1.101073317,-1.293413713,-0.8765582364,-1.388637838,-0.7347933651,-1.279608035,0.5308985136,0.8781565725,0.2853526859,0.433760403,-0.5929418775,0.228184695,0.9084601134,0.5051942848
7.53666982,0.8077175912,0.9693723546,2.019475252,0.4289931429,-0.9365214961,1.368321047,-1.002068938,-1.257662991,-0.8721760055,-1.34740024,-0.6705605938,-1.246073279,0.5578027757,0.8425106896,0.2749148907,0.4336541216,-0.5993852968,0.2034612347,0.8671661359,0.4938496282
7.535924611,0.8071015639,0.9704265025,2.01758102,0.4292653214,-0.9386719055,1.364732591,-0.9001312854,-1.222015106,-0.8680899327,-1.306512235,-0.6044127477,-1.208826573,0.5860773655,0.8174287881,0.2677904166,0.4335797569,-0.6022638656,0.1859428232,0.8298432543,0.4863362193
7.535495967,0.8064620589,0.9715852075,2.015996396,0.4294609773,-0.94036825,1.361045084,-0.7965459476,-1.186908738,-0.8643508178,-1.266477694,-0.5371721764,-1.168329824,0.6153682743,0.8032277692,0.2640700761,0.4335379682,-0.6015390603,0.1758516272,0.7969598365,0.4827493992
7.535388471,0.8058071336,0.9728342121,2.014741647,0.4295777504,-0.9415895731,1.357304862,-0.6926228894,-1.152776486,-0.8610005915,-1.227784926,-0.4696763075,-1.12508846,0.6453057069,0.8000840436,0.2637937558,0.4335327471,-0.5972246334,0.1733151539,0.7689227434,0.4831396711
7.535597227,0.8051450267,0.9741581588,2.013832947,0.4296142348,-0.9423208515,1.353559001,-0.5896767711,-1.12004383,-0.8580835387,-1.19091828,-0.4027659056,-1.07963898,0.6755170492,0.8080364687,0.2669694271,0.4335614784,-0.5893703218,0.1783739803,0.7460930714,0.4875057984
7.536102019,0.8044840619,0.9755407287,2.013282164,0.4295699936,-0.942553159,1.349854759,-0.4889947167,-1.089115424,-0.8556383452,-1.156338478,-0.3372763107,-1.032541436,0.7056271266,0.827006181,0.2735696087,0.433620458,-0.5780640466,0.1909768197,0.7287694,0.4957964801
7.536911188,0.803832542,0.9769647893,2.013096718,0.4294455911,-0.9422840055,1.346238878,-0.3918858015,-1.060383288,-0.8536872604,-1.124467805,-0.2740315744,-0.9843928926,0.7352473664,0.8567371292,0.283498394,0.4337203662,-0.5634611779,0.2109714681,0.7171607707,0.507923533
7.538011086,0.8031986538,0.978412829,2.013279448,0.42924256,-0.9415166518,1.342757417,-0.2995583823,-1.034205918,-0.8522637756,-1.095720058,-0.2138238028,-0.9357807189,0.7640162534,0.8968631618,0.296644436,0.4338471003,-0.5457269708,0.2381200045,0.7114376024,0.5237336995
7.539400114,0.8025903717,0.9798668091,2.013828555,0.4289633761,-0.9402607122,1.339454759,-0.2131898556,-1.010924183,-0.8513779819,-1.070447987,-0.1574192457,-0.8873319968,0.7915592212,0.9468750124,0.3128165448,0.4340197579,-0.5251124531,0.272086279,0.7116601126,0.5430570723
