"Time","Subsystem #1|CTLs|Vars|VMrms1","Subsystem #1|CTLs|Vars|VSrms1","Subsystem #1|CTLs|Vars|Vrms1","Subsystem #1|CTLs|Vars|Vrms10","Subsystem #1|CTLs|Vars|Vrms13","Subsystem #1|CTLs|Vars|Vrms16","Subsystem #1|CTLs|Vars|Vrms19","Subsystem #1|CTLs|Vars|Vrms4","Subsystem #1|CTLs|Vars|Vrms7"
0.25395,7.623243232,79.69754386,5.517355338,5.639184409,5.594284332,5.631182051,5.697956801,5.64106758,5.669347329
0.2541,7.623218519,79.69728519,5.53013681,5.654593833,5.608267835,5.646693831,5.714511696,5.656633705,5.685407782
0.25425,7.623191195,79.6969993,5.550479832,5.67751129,5.630352405,5.670052138,5.738681116,5.679896405,5.709106735
0.2544,7.623166246,79.69673832,5.578126984,5.707563219,5.660165476,5.70087586,5.770010725,5.710436495,5.74000301
0.25455,7.623147135,79.69653842,5.612268179,5.74426009,5.6971578,5.738602324,5.807940548,5.747666821,5.777530863
0.2547,7.623135648,79.69641825,5.653202768,5.78777749,5.74126972,5.783195267,5.852531616,5.791673112,5.821784557
0.25485,7.623132228,79.69638242,5.696248268,5.833378374,5.787706782,5.829847431,5.89902337,5.837668824,5.868020604
0.255,7.623136467,79.69642666,5.750984364,5.889956017,5.845460341,5.887694075,5.956311848,5.894736587,5.925124783
0.25515,7.62314752,79.69654213,5.804807335,5.947275138,5.904755098,5.946519875,6.014394239,5.952509258,5.983012208
0.2553,7.623153916,79.69660896,5.868084985,6.012098659,5.971760182,6.013021159,6.07984425,6.018003725,6.048385878
0.25545,7.623167593,79.69675186,5.930806031,6.076802554,6.039530424,6.079785275,6.145308595,6.083502744,6.113769217
0.2556,7.623184765,79.69693128,5.998955041,6.146119964,6.112091831,6.151217294,6.215252961,6.153712179,6.18372643
0.25575,7.623203802,79.69713017,6.06732451,6.216161092,6.185813369,6.223503793,6.285827721,6.224636525,6.25436299
0.2559,7.623222968,79.69733041,6.136269603,6.286681248,6.260250123,6.296268023,6.356740287,6.295987461,6.325390179
0.25605,7.623240398,79.69751248,6.207099734,6.357926286,6.335372678,6.369618543,6.428136253,6.368012147,6.39699772
0.2562,7.623254293,79.69765757,6.274753797,6.426507482,6.40814639,6.440329614,6.496769512,6.437270585,6.465861374
0.25635,7.623263217,79.6977507,6.342092001,6.494270493,6.479995384,6.510085434,6.564376607,6.505651598,6.533772874
0.2565,7.623266397,79.69778377,6.405357356,6.557920491,6.547953147,6.575736472,6.627811559,6.569915982,6.597551406
0.25665,7.62324844,79.69759484,6.465574007,6.617874191,6.612275545,6.637709409,6.687514249,6.630543694,6.657632954
0.2568,7.623233213,79.69743465,6.52077313,6.672434832,6.671345765,6.694317107,6.74182877,6.685838121,6.712349685
0.25695,7.62320703,79.69716025,6.570721308,6.721275377,6.724603228,6.745105125,6.790344824,6.735416629,6.761307935
0.2571,7.623180622,79.69688362,6.614550512,6.764000054,6.771558258,6.789613844,6.832634239,6.778797848,6.804061414
0.25725,7.623158261,79.6966494,6.650833541,6.799027392,6.810544709,6.826157706,6.867061646,6.81433607,6.838982619
0.2574,7.62314256,79.69648488,6.681421767,6.827626679,6.842562033,6.855896875,6.894808217,6.843278836,6.867274269
0.25755,7.623134645,79.6964018,6.702412982,6.847199336,6.865269938,6.876321458,6.913396196,6.862971296,6.886394313
0.2577,7.623134575,79.69640077,6.716872156,6.859561992,6.880236068,6.889195848,6.924582332,6.875322783,6.8981468
0.25785,7.62314179,79.69647594,6.722430499,6.862964215,6.885975737,6.892917606,6.92676818,6.878633902,6.900889124
0.258,7.623146915,79.69652903,6.719721749,6.858045235,6.883128389,6.888183797,6.920662691,6.873603972,6.895316036
0.25815,7.623157848,79.69664314,6.709136119,6.84470858,6.871620465,6.87495513,6.90621802,6.860221173,6.881384018
0.2583,7.623173328,79.69680479,6.690346242,6.822964863,6.851446158,6.853231978,6.883469177,6.838470918,6.859111381
0.25845,7.623191664,79.69699632,6.663839404,6.793563434,6.823199115,6.823673773,6.853121165,6.809029992,6.829199888
0.2586,7.623211183,79.69720022,6.629875981,6.756571052,6.786850604,6.786275382,6.815161887,6.771915971,6.791654738
0.25875,7.62322997,79.69739648,6.589561103,6.713251111,6.74345938,6.742176501,6.770783503,6.72829321,6.74766574
0.2589,7.623246018,79.6975641,6.542163852,6.663385169,6.692853978,6.691142065,6.71979743,6.677884364,6.697017198
0.25905,7.623257514,79.69768416,6.490104088,6.608549773,6.636551583,6.634779502,6.663737922,6.622339481,6.641276949
0.2592,7.623263192,79.6977434,6.432632228,6.548804521,6.574792426,6.573242209,6.602790096,6.561733746,6.580584592
0.25935,7.623262625,79.6977374,6.371056728,6.485245904,6.508815891,6.507757951,6.538135056,6.497276009,6.51612227
0.2595,7.623239275,79.69749446,6.306625532,6.418530727,6.439448745,6.439150457,6.470529006,6.429768832,6.448642893
0.25965,7.623213913,79.69722986,6.239502914,6.349346082,6.36749208,6.368157802,6.400745199,6.359914152,6.378892975
0.2598,7.623185015,79.69692838,6.170907319,6.278885934,6.294119154,6.295966244,6.329938194,6.288899648,6.308041839
0.25995,7.623158353,79.69665034,6.101702777,6.207877099,6.220021779,6.223278552,6.258766623,6.217419745,6.236763424
0.2601,7.623137507,79.69643313,6.032676392,6.137498504,6.146212025,6.151105174,6.188320224,6.146513069,6.16614634
0.26025,7.623124383,79.69629666,5.964558634,6.068428487,6.073301682,6.080044422,6.119199049,6.076786219,6.096803277
0.2604,7.623119545,79.6962468,5.898683042,6.001838808,6.002437836,6.011263107,6.052499951,6.009394161,6.029852093
0.26055,7.623122714,79.69628062,5.834909268,5.938262532,5.934216629,5.945287708,5.988799617,5.94484118,5.965850708
0.2607,7.623129375,79.69635071,5.774814401,5.878624093,5.869742621,5.883205895,5.929083885,5.884196332,5.905801035
0.26085,7.623136293,79.69642377,5.718815175,5.823101762,5.809458058,5.825401905,5.873668155,5.827782279,5.850001559
0.261,7.623150615,79.69657409,5.66745029,5.772586586,5.754374169,5.772822559,5.823522223,5.776539026,5.799414337
0.26115,7.62316905,79.69676739,5.621378178,5.727576706,5.705141183,5.726089968,5.779153756,5.731033448,5.754560209
0.2613,7.623189976,79.69698667,5.581067816,5.688466809,5.662197348,5.685621191,5.740936729,5.691650215,5.715814776
0.26145,7.623211414,79.69721126,5.547165069,5.655935449,5.626086592,5.651937636,5.709459656,5.65895891,5.683779189
0.2616,7.623231088,79.69741734,5.520072494,5.63031653,5.59709762,5.625322134,5.68494289,5.633218193,5.658694577
0.26175,7.623246687,79.69758077,5.499894274,5.612102018,5.575652807,5.606181395,5.667777206,5.614820201,5.640961382
0.2619,7.623256286,79.69768142,5.486854713,5.601645224,5.562054452,5.594786092,5.658268911,5.604070449,5.630900582
0.26205,7.623258788,79.69770784,5.481570465,5.598912713,5.556443962,5.591254901,5.656421938,5.601044169,5.628525577
0.2622,7.623238634,79.69749634,5.48373157,5.603665476,5.558741007,5.595445919,5.662086034,5.605573475,5.633672089
0.26235,7.623219591,79.69729661,5.493645179,5.616310886,5.569402935,5.607786502,5.67569156,5.618117844,5.646786303
0.2625,7.623188935,79.69697579,5.510855177,5.636399464,5.588179052,5.62798441,5.69683802,5.638307296,5.667464159
0.26265,7.623158197,79.69665421,5.535313318,5.663670891,5.614827873,5.655775786,5.725274722,5.665892254,5.695455461
0.2628,7.623132228,79.69638255,5.56727222,5.69806602,5.649184951,5.690997552,5.760878516,5.700770304,5.730656723
0.26295,7.6231139,79.69619082,5.605855285,5.739009197,5.690673112,5.733059989,5.803009924,5.742297857,5.772427536
0.2631,7.623104368,79.69609106,5.650548174,5.786337053,5.738974975,5.78165495,5.851414226,5.790204727,5.820523486
0.26325,7.623103609,79.69608304,5.701240714,5.839649511,5.793607025,5.836310734,5.90564026,5.844068716,5.874512318
0.2634,7.62311098,79.69615999,5.757071707,5.897886202,5.853617352,5.896064391,5.96467802,5.90287183,5.933366798
0.26355,7.623117339,79.69622608,5.817473802,5.960439148,5.918372401,5.960283762,6.027945578,5.966028008,5.996507962
0.2637,7.623130024,79.69635861,5.881885522,6.026799445,5.98733524,6.028450853,6.094934094,6.033049366,6.063436687
0.26385,7.623148099,79.69654748,5.94883375,6.095757166,6.0593962,6.09944034,6.1644882,6.102752503,6.132977311
0.264,7.623169806,79.6967743,6.017984391,6.166546427,6.133691574,6.172417942,6.235833717,6.174376922,6.204363446
0.26415,7.623193283,79.69701961,6.088757368,6.238351971,6.209313635,6.246506306,6.308115955,6.247081291,6.276750705
0.2643,7.623216251,79.69725957,6.159362336,6.309935263,6.284990639,6.320428096,6.380071232,6.319548667,6.348857013
0.26445,7.623236178,79.69746771,6.229404695,6.380818115,6.360043405,6.393557359,6.451135201,6.391236646,6.420137762
